,invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,revenue,net_profit,region
41,42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,1900-01-01 10:11:00,Cash,6.3,0.33,112.22,37.03,DFW Metroplex
44,45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,1900-01-01 19:47:00,Cash,7.2,0.48,30.74,14.76,DFW Metroplex
47,48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-06-02,1900-01-01 15:47:00,Ewallet,4.1,0.48,180.09,86.44,DFW Metroplex
48,49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-10-02,1900-01-01 12:45:00,Credit card,8.1,0.33,113.58,37.48,Central Texas
51,52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-10-02,1900-01-01 15:10:00,Cash,8.5,0.33,222.95000000000002,73.57,Greater Houston
52,53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,1900-01-01 14:42:00,Ewallet,6.5,0.48,71.48,34.31,South Texas
53,54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,1900-01-01 15:46:00,Credit card,6.1,0.48,15.43,7.41,Greater Houston
54,55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-07-03,1900-01-01 11:49:00,Ewallet,6.5,0.48,32.32,15.51,DFW Metroplex
56,57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,1900-01-01 11:26:00,Cash,5.8,0.36,88.68,31.92,Central Texas
59,60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-12-03,1900-01-01 20:36:00,Cash,9.3,0.48,183.66,88.16,DFW Metroplex
60,61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,1900-01-01 17:47:00,Credit card,10.0,0.48,74.22,35.63,Central Texas
63,64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-06-03,1900-01-01 12:27:00,Credit card,8.6,0.33,158.1,52.17,DFW Metroplex
64,65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,1900-01-01 14:35:00,Cash,7.6,0.33,302.96,99.98,DFW Metroplex
65,66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,1900-01-01 16:40:00,Cash,5.8,0.48,158.7,76.18,Central Texas
66,67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-10-02,1900-01-01 15:43:00,Ewallet,6.7,0.48,66.94,32.13,Central Texas
69,70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,1900-01-01 18:50:00,Cash,4.3,0.48,18.33,8.8,West Texas
72,73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,2019-05-03,1900-01-01 18:17:00,Ewallet,4.0,0.18,145.56,26.2,South Texas
77,78,WALM094,Alamo,Fashion accessories,20.01,9.0,2019-12-01,1900-01-01 15:48:00,Credit card,5.7,0.33,180.09,59.43,South Texas
79,80,WALM071,Lufkin,Health and beauty,20.38,5.0,2019-01-22,1900-01-01 18:56:00,Cash,6.0,0.33,101.89999999999999,33.63,East Texas
81,82,WALM090,Brownwood,Food and beverages,96.68,3.0,2019-01-26,1900-01-01 19:56:00,Ewallet,6.4,0.33,290.04,95.71,
82,83,WALM061,Cedar Park,Food and beverages,19.25,8.0,2019-01-23,1900-01-01 18:37:00,Ewallet,6.6,0.33,154.0,50.82,Central Texas
84,85,WALM097,Alice,Sports and travel,48.91,5.0,2019-09-03,1900-01-01 10:17:00,Cash,6.6,0.18,244.54999999999998,44.02,South Texas
88,89,WALM011,Lubbock,Sports and travel,42.47,1.0,2019-02-01,1900-01-01 16:57:00,Cash,5.7,0.48,42.47,20.39,West Texas
90,91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,2019-01-23,1900-01-01 10:25:00,Cash,7.1,0.33,189.52,62.54,West Texas
92,93,WALM040,Edinburg,Sports and travel,21.98,7.0,2019-10-01,1900-01-01 16:42:00,Ewallet,5.1,0.48,153.86,73.85,
94,95,WALM075,San Marcos,Health and beauty,89.75,1.0,2019-06-02,1900-01-01 20:05:00,Credit card,6.6,0.33,89.75,29.62,Central Texas
95,96,WALM034,College Station,Electronic accessories,97.16,1.0,2019-08-03,1900-01-01 20:38:00,Ewallet,7.2,0.48,97.16,46.64,Central Texas
97,98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,2019-09-02,1900-01-01 13:11:00,Cash,4.1,0.18,74.69999999999999,13.45,South Texas
98,99,WALM004,Austin,Food and beverages,52.75,3.0,2019-03-23,1900-01-01 10:16:00,Ewallet,9.3,0.48,158.25,75.96,Central Texas
100,101,WALM075,San Marcos,Fashion accessories,48.71,1.0,2019-03-26,1900-01-01 19:20:00,Cash,4.1,0.33,48.71,16.07,Central Texas
102,103,WALM023,Midland,Electronic accessories,23.07,9.0,2019-01-02,1900-01-01 11:27:00,Cash,4.9,0.48,207.63,99.66,West Texas
104,105,WALM078,Del Rio,Health and beauty,30.35,7.0,2019-03-19,1900-01-01 18:19:00,Cash,8.0,0.33,212.45000000000002,70.11,South Texas
106,107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,2019-05-01,1900-01-01 20:54:00,Credit card,7.9,0.48,164.28,78.85,Central Texas
108,109,WALM044,Pharr,Food and beverages,33.98,9.0,2019-03-24,1900-01-01 10:43:00,Cash,4.2,0.48,305.82,146.79,South Texas
110,111,WALM007,Arlington,Sports and travel,16.49,2.0,2019-05-02,1900-01-01 11:32:00,Ewallet,4.6,0.48,32.98,15.83,DFW Metroplex
111,112,WALM025,Waco,Health and beauty,98.21,3.0,2019-05-02,1900-01-01 10:41:00,Credit card,7.8,0.48,294.63,141.42,Central Texas
115,116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,2019-02-03,1900-01-01 13:01:00,Credit card,7.1,0.33,81.06,26.75,DFW Metroplex
116,117,WALM040,Edinburg,Fashion accessories,21.94,5.0,2019-05-03,1900-01-01 12:29:00,Ewallet,5.3,0.48,109.7,52.66,
117,118,WALM071,Lufkin,Fashion accessories,51.36,1.0,2019-01-16,1900-01-01 15:26:00,Ewallet,5.2,0.33,51.36,16.95,East Texas
118,119,WALM027,Abilene,Food and beverages,10.96,10.0,2019-02-02,1900-01-01 20:48:00,Ewallet,6.0,0.48,109.60000000000001,52.61,West Texas
119,120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,2019-01-20,1900-01-01 20:38:00,Ewallet,4.1,0.33,106.88,35.27,East Texas
126,127,WALM016,Brownsville,Sports and travel,32.25,5.0,2019-01-27,1900-01-01 13:26:00,Cash,9.0,0.48,161.25,77.4,South Texas
127,128,WALM044,Pharr,Fashion accessories,31.73,9.0,2019-08-01,1900-01-01 16:17:00,Credit card,5.9,0.48,285.57,137.07,South Texas
130,131,WALM022,Mesquite,Fashion accessories,39.62,7.0,2019-01-25,1900-01-01 13:18:00,Cash,7.5,0.48,277.34,133.12,DFW Metroplex
132,133,WALM055,Waxahachie,Sports and travel,34.84,4.0,2019-10-02,1900-01-01 18:36:00,Cash,7.4,0.33,139.36,45.99,DFW Metroplex
135,136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,2019-02-18,1900-01-01 19:39:00,Cash,6.2,0.18,270.65999999999997,48.72,Central Texas
136,137,WALM027,Abilene,Electronic accessories,26.31,5.0,2019-01-18,1900-01-01 20:59:00,Credit card,8.8,0.48,131.54999999999998,63.14,West Texas
137,138,WALM093,Angleton,Home and lifestyle,34.42,6.0,2019-02-18,1900-01-01 15:39:00,Cash,9.8,0.33,206.52,68.15,Greater Houston
143,144,WALM097,Alice,Food and beverages,30.41,1.0,2019-02-22,1900-01-01 10:36:00,Credit card,8.4,0.18,30.41,5.47,South Texas
145,146,WALM047,Flower Mound,Health and beauty,46.26,6.0,2019-08-03,1900-01-01 17:11:00,Credit card,9.5,0.48,277.56,133.23,DFW Metroplex
146,147,WALM026,Denton,Fashion accessories,30.14,10.0,2019-10-02,1900-01-01 12:28:00,Ewallet,9.2,0.48,301.4,144.67,DFW Metroplex
147,148,WALM054,Sherman,Health and beauty,66.14,4.0,2019-03-19,1900-01-01 12:46:00,Credit card,5.6,0.21,264.56,55.56,DFW Metroplex
149,150,WALM065,Texas City,Health and beauty,32.46,8.0,2019-03-27,1900-01-01 13:48:00,Credit card,4.9,0.33,259.68,85.69,Greater Houston
151,152,WALM070,Hurst,Sports and travel,34.56,7.0,2019-11-03,1900-01-01 16:07:00,Credit card,7.3,0.33,241.92000000000002,79.83,DFW Metroplex
153,154,WALM071,Lufkin,Food and beverages,16.48,6.0,2019-07-02,1900-01-01 18:23:00,Ewallet,9.9,0.33,98.88,32.63,East Texas
156,157,WALM042,Bryan,Electronic accessories,72.17,1.0,2019-04-01,1900-01-01 19:40:00,Cash,6.1,0.48,72.17,34.64,Central Texas
157,158,WALM013,Irving,Home and lifestyle,50.28,5.0,2019-07-03,1900-01-01 13:58:00,Ewallet,9.7,0.48,251.4,120.67,DFW Metroplex
161,162,WALM019,Pasadena,Sports and travel,63.69,1.0,2019-02-25,1900-01-01 16:21:00,Cash,6.0,0.48,63.69,30.57,Greater Houston
163,164,WALM084,Schertz,Sports and travel,76.4,2.0,2019-01-30,1900-01-01 19:42:00,Ewallet,6.5,0.33,152.8,50.42,Central Texas
168,169,WALM069,Rockwall,Food and beverages,51.28,6.0,2019-01-19,1900-01-01 16:31:00,Cash,6.5,0.33,307.68,101.53,DFW Metroplex
172,173,WALM039,Longview,Electronic accessories,20.85,8.0,2019-03-03,1900-01-01 19:17:00,Cash,6.3,0.48,166.8,80.06,East Texas
174,175,WALM071,Lufkin,Food and beverages,19.79,8.0,2019-01-18,1900-01-01 12:04:00,Ewallet,8.7,0.33,158.32,52.25,East Texas
175,176,WALM060,DeSoto,Home and lifestyle,33.84,9.0,2019-03-21,1900-01-01 16:21:00,Ewallet,8.8,0.33,304.56000000000006,100.5,DFW Metroplex
176,177,WALM073,Seguin,Food and beverages,22.17,8.0,2019-03-03,1900-01-01 17:01:00,Credit card,9.6,0.33,177.36,58.53,Central Texas
177,178,WALM059,Pflugerville,Fashion accessories,22.51,7.0,2019-02-13,1900-01-01 10:50:00,Credit card,4.8,0.33,157.57000000000002,52.0,Central Texas
179,180,WALM086,Rosenberg,Health and beauty,86.8,3.0,2019-01-28,1900-01-01 16:47:00,Ewallet,9.9,0.33,260.4,85.93,Greater Houston
181,182,WALM028,Odessa,Food and beverages,38.47,8.0,2019-01-23,1900-01-01 11:51:00,Cash,7.7,0.48,307.76,147.72,West Texas
182,183,WALM053,Conroe,Sports and travel,15.5,10.0,2019-03-23,1900-01-01 10:55:00,Ewallet,8.0,0.57,155.0,88.35,Greater Houston
183,184,WALM024,Carrollton,Health and beauty,34.31,8.0,2019-01-25,1900-01-01 15:00:00,Ewallet,5.7,0.48,274.48,131.75,DFW Metroplex
184,185,WALM097,Alice,Sports and travel,12.34,7.0,2019-04-03,1900-01-01 11:19:00,Credit card,6.7,0.18,86.38,15.55,South Texas
185,186,WALM072,Lancaster,Food and beverages,18.08,3.0,2019-05-03,1900-01-01 19:46:00,Ewallet,8.0,0.33,54.239999999999995,17.9,DFW Metroplex
187,188,WALM038,Sugar Land,Home and lifestyle,46.47,4.0,2019-08-02,1900-01-01 10:53:00,Cash,7.0,0.48,185.88,89.22,Central Texas
188,189,WALM078,Del Rio,Home and lifestyle,74.07,1.0,2019-10-02,1900-01-01 12:50:00,Ewallet,9.9,0.33,74.07,24.44,South Texas
189,190,WALM084,Schertz,Home and lifestyle,69.81,4.0,2019-01-28,1900-01-01 20:50:00,Credit card,5.9,0.33,279.24,92.15,Central Texas
190,191,WALM059,Pflugerville,Home and lifestyle,77.04,3.0,2019-11-02,1900-01-01 10:39:00,Credit card,7.2,0.33,231.12,76.27,Central Texas
191,192,WALM062,Galveston,Fashion accessories,73.52,2.0,2019-01-15,1900-01-01 13:41:00,Ewallet,4.6,0.33,147.04,48.52,Greater Houston
193,194,WALM015,Grand Prairie,Home and lifestyle,25.55,4.0,2019-01-26,1900-01-01 20:23:00,Ewallet,5.7,0.48,102.2,49.06,DFW Metroplex
194,195,WALM003,San Antonio,Electronic accessories,32.71,5.0,2019-03-19,1900-01-01 11:30:00,Credit card,9.9,0.48,163.55,78.5,Central Texas
195,196,WALM066,Grapevine,Fashion accessories,74.29,1.0,2019-01-13,1900-01-01 19:30:00,Cash,5.0,0.33,74.29,24.52,DFW Metroplex
196,197,WALM079,La Porte,Health and beauty,43.7,2.0,2019-03-26,1900-01-01 18:03:00,Cash,4.9,0.33,87.4,28.84,Greater Houston
197,198,WALM002,Dallas,Home and lifestyle,25.29,1.0,2019-03-23,1900-01-01 10:13:00,Ewallet,6.1,0.36,25.29,9.1,DFW Metroplex
198,199,WALM094,Alamo,Health and beauty,41.5,4.0,2019-12-03,1900-01-01 19:58:00,Credit card,8.2,0.33,166.0,54.78,South Texas
200,201,WALM100,Canyon,Sports and travel,19.15,6.0,2019-01-29,1900-01-01 10:01:00,Credit card,6.8,0.18,114.89999999999999,20.68,West Texas
201,202,WALM005,Fort Worth,Electronic accessories,57.49,4.0,2019-03-15,1900-01-01 11:57:00,Cash,6.6,0.48,229.96,110.38,DFW Metroplex
203,204,WALM029,Round Rock,Health and beauty,25.9,10.0,2019-06-02,1900-01-01 14:51:00,Ewallet,8.7,0.48,259.0,124.32,Central Texas
204,205,WALM065,Texas City,Home and lifestyle,17.77,5.0,2019-02-15,1900-01-01 12:42:00,Credit card,5.4,0.33,88.85,29.32,Greater Houston
205,206,WALM085,Kerrville,Health and beauty,23.03,9.0,2019-03-01,1900-01-01 12:02:00,Ewallet,7.9,0.33,207.27,68.4,Central Texas
207,208,WALM055,Waxahachie,Home and lifestyle,28.53,10.0,2019-03-18,1900-01-01 17:38:00,Ewallet,7.8,0.33,285.3,94.15,DFW Metroplex
208,209,WALM043,Baytown,Fashion accessories,30.37,3.0,2019-03-28,1900-01-01 13:41:00,Ewallet,5.1,0.48,91.11,43.73,Greater Houston
210,211,WALM050,Victoria,Electronic accessories,26.23,9.0,2019-01-25,1900-01-01 20:24:00,Ewallet,5.9,0.48,236.07,113.31,Central Texas
213,214,WALM093,Angleton,Sports and travel,46.42,3.0,2019-04-01,1900-01-01 13:24:00,Credit card,4.4,0.33,139.26,45.96,Greater Houston
214,215,WALM065,Texas City,Sports and travel,29.61,7.0,2019-11-03,1900-01-01 15:53:00,Cash,6.5,0.33,207.26999999999998,68.4,Greater Houston
215,216,WALM072,Lancaster,Home and lifestyle,18.28,1.0,2019-03-22,1900-01-01 15:05:00,Credit card,8.3,0.33,18.28,6.03,DFW Metroplex
216,217,WALM038,Sugar Land,Sports and travel,24.77,5.0,2019-03-24,1900-01-01 18:27:00,Cash,8.5,0.48,123.85,59.45,Central Texas
217,218,WALM081,Friendswood,Electronic accessories,94.64,3.0,2019-02-21,1900-01-01 16:55:00,Cash,5.5,0.33,283.92,93.69,Greater Houston
219,220,WALM044,Pharr,Food and beverages,57.34,3.0,2019-10-03,1900-01-01 18:59:00,Credit card,7.9,0.48,172.02,82.57,South Texas
220,221,WALM002,Dallas,Electronic accessories,45.35,6.0,2019-01-31,1900-01-01 13:44:00,Ewallet,6.1,0.36,272.1,97.96,DFW Metroplex
222,223,WALM020,Killeen,Electronic accessories,11.81,5.0,2019-02-17,1900-01-01 18:06:00,Cash,9.4,0.48,59.050000000000004,28.34,Central Texas
223,224,WALM026,Denton,Fashion accessories,12.54,1.0,2019-02-21,1900-01-01 12:38:00,Cash,8.2,0.48,12.54,6.02,DFW Metroplex
224,225,WALM003,San Antonio,Food and beverages,43.25,2.0,2019-03-20,1900-01-01 15:56:00,Cash,6.2,0.48,86.5,41.52,Central Texas
225,226,WALM067,Haltom City,Sports and travel,87.16,2.0,2019-11-01,1900-01-01 14:29:00,Credit card,9.7,0.33,174.32,57.53,DFW Metroplex
227,228,WALM068,Burleson,Electronic accessories,37.06,4.0,2019-01-31,1900-01-01 16:24:00,Ewallet,9.7,0.33,148.24,48.92,DFW Metroplex
230,231,WALM007,Arlington,Fashion accessories,81.37,2.0,2019-01-26,1900-01-01 19:28:00,Cash,6.5,0.48,162.74,78.12,DFW Metroplex
231,232,WALM024,Carrollton,Electronic accessories,10.59,3.0,2019-12-03,1900-01-01 13:52:00,Credit card,8.7,0.48,31.77,15.25,DFW Metroplex
233,234,WALM045,Missouri City,Fashion accessories,73.82,4.0,2019-02-21,1900-01-01 18:31:00,Credit card,6.7,0.48,295.28,141.73,Greater Houston
235,236,WALM084,Schertz,Sports and travel,93.14,2.0,2019-01-20,1900-01-01 18:09:00,Ewallet,4.1,0.33,186.28,61.47,Central Texas
236,237,WALM068,Burleson,Health and beauty,17.41,5.0,2019-01-28,1900-01-01 15:16:00,Credit card,4.9,0.33,87.05,28.73,DFW Metroplex
237,238,WALM023,Midland,Fashion accessories,44.22,5.0,2019-05-03,1900-01-01 17:07:00,Credit card,8.6,0.48,221.1,106.13,West Texas
238,239,WALM040,Edinburg,Electronic accessories,13.22,5.0,2019-02-03,1900-01-01 19:26:00,Cash,4.3,0.48,66.10000000000001,31.73,
239,240,WALM085,Kerrville,Fashion accessories,89.69,1.0,2019-11-01,1900-01-01 11:20:00,Ewallet,4.9,0.33,89.69,29.6,Central Texas
240,241,WALM009,Plano,Food and beverages,24.94,9.0,2019-11-01,1900-01-01 16:49:00,Credit card,5.6,0.48,224.46,107.74,DFW Metroplex
241,242,WALM100,Canyon,Health and beauty,59.77,2.0,2019-11-03,1900-01-01 12:01:00,Credit card,5.8,0.18,119.54,21.52,West Texas
242,243,WALM077,Coppell,Fashion accessories,93.2,2.0,2019-02-28,1900-01-01 18:37:00,Credit card,6.0,0.33,186.4,61.51,DFW Metroplex
243,244,WALM034,College Station,Home and lifestyle,62.65,4.0,2019-05-01,1900-01-01 11:25:00,Cash,4.2,0.48,250.6,120.29,Central Texas
246,247,WALM044,Pharr,Electronic accessories,81.4,3.0,2019-09-02,1900-01-01 19:43:00,Cash,4.8,0.48,244.20000000000002,117.22,South Texas
247,248,WALM055,Waxahachie,Fashion accessories,17.94,5.0,2019-01-23,1900-01-01 14:04:00,Ewallet,6.8,0.33,89.7,29.6,DFW Metroplex
252,253,WALM066,Grapevine,Sports and travel,14.39,2.0,2019-02-03,1900-01-01 19:44:00,Credit card,7.2,0.33,28.78,9.5,DFW Metroplex
253,254,WALM011,Lubbock,Home and lifestyle,23.75,4.0,2019-03-16,1900-01-01 11:22:00,Cash,5.2,0.48,95.0,45.6,West Texas
255,256,WALM048,Harlingen,Fashion accessories,32.62,4.0,2019-01-29,1900-01-01 14:12:00,Cash,9.0,0.48,130.48,62.63,South Texas
256,257,WALM067,Haltom City,Electronic accessories,66.35,1.0,2019-01-31,1900-01-01 10:46:00,Credit card,9.7,0.33,66.35,21.9,DFW Metroplex
257,258,WALM049,North Richland Hills,Home and lifestyle,25.91,6.0,2019-05-02,1900-01-01 10:16:00,Ewallet,8.7,0.48,155.46,74.62,DFW Metroplex
258,259,WALM029,Round Rock,Electronic accessories,32.25,4.0,2019-02-13,1900-01-01 12:38:00,Ewallet,6.5,0.48,129.0,61.92,Central Texas
259,260,WALM100,Canyon,Electronic accessories,65.94,4.0,2019-07-02,1900-01-01 13:05:00,Credit card,6.9,0.18,263.76,47.48,West Texas
261,262,WALM019,Pasadena,Fashion accessories,16.45,4.0,2019-07-03,1900-01-01 14:53:00,Ewallet,5.6,0.48,65.8,31.58,Greater Houston
262,263,WALM022,Mesquite,Fashion accessories,38.3,4.0,2019-03-13,1900-01-01 19:22:00,Cash,5.7,0.48,153.2,73.54,DFW Metroplex
263,264,WALM099,Weatherford,Sports and travel,22.24,10.0,2019-09-02,1900-01-01 11:00:00,Cash,4.2,0.18,222.39999999999998,40.03,DFW Metroplex
264,265,WALM095,Big Spring,Sports and travel,54.45,1.0,2019-02-26,1900-01-01 19:24:00,Ewallet,7.9,0.33,54.45,17.97,West Texas
266,267,WALM072,Lancaster,Home and lifestyle,35.47,4.0,2019-03-14,1900-01-01 17:22:00,Credit card,6.9,0.33,141.88,46.82,DFW Metroplex
268,269,WALM001,Houston,Home and lifestyle,70.74,4.0,2019-05-01,1900-01-01 16:05:00,Credit card,4.4,0.36,282.96,101.87,Greater Houston
271,272,WALM027,Abilene,Health and beauty,21.12,2.0,2019-03-01,1900-01-01 19:17:00,Cash,9.7,0.48,42.24,20.28,West Texas
272,273,WALM094,Alamo,Home and lifestyle,21.54,9.0,2019-07-01,1900-01-01 11:44:00,Credit card,8.8,0.33,193.85999999999999,63.97,South Texas
273,274,WALM025,Waco,Home and lifestyle,12.03,2.0,2019-01-27,1900-01-01 15:51:00,Cash,5.1,0.48,24.06,11.55,Central Texas
276,277,WALM027,Abilene,Home and lifestyle,21.82,10.0,2019-07-01,1900-01-01 17:36:00,Cash,7.1,0.48,218.2,104.74,West Texas
281,282,WALM036,Allen,Home and lifestyle,37.0,1.0,2019-06-03,1900-01-01 13:29:00,Credit card,7.9,0.48,37.0,17.76,DFW Metroplex
282,283,WALM097,Alice,Sports and travel,15.34,1.0,2019-06-01,1900-01-01 11:09:00,Cash,6.5,0.18,15.34,2.76,South Texas
284,285,WALM079,La Porte,Health and beauty,47.67,4.0,2019-12-03,1900-01-01 14:21:00,Cash,9.1,0.33,190.68,62.92,Greater Houston
286,287,WALM010,Laredo,Home and lifestyle,74.86,1.0,2019-03-24,1900-01-01 14:49:00,Cash,6.9,0.48,74.86,35.93,South Texas
287,288,WALM079,La Porte,Sports and travel,23.75,9.0,2019-01-31,1900-01-01 12:02:00,Cash,9.5,0.33,213.75,70.54,Greater Houston
291,292,WALM040,Edinburg,Electronic accessories,27.85,7.0,2019-03-14,1900-01-01 17:20:00,Ewallet,6.0,0.48,194.95000000000002,93.58,
292,293,WALM007,Arlington,Electronic accessories,62.48,1.0,2019-02-18,1900-01-01 20:29:00,Cash,4.7,0.48,62.48,29.99,DFW Metroplex
293,294,WALM015,Grand Prairie,Food and beverages,36.36,2.0,2019-01-21,1900-01-01 10:00:00,Cash,7.1,0.48,72.72,34.91,DFW Metroplex
294,295,WALM023,Midland,Health and beauty,18.11,10.0,2019-03-13,1900-01-01 11:46:00,Ewallet,5.9,0.48,181.1,86.93,West Texas
295,296,WALM014,Amarillo,Electronic accessories,51.92,5.0,2019-03-03,1900-01-01 13:42:00,Cash,7.5,0.48,259.6,124.61,West Texas
296,297,WALM036,Allen,Electronic accessories,28.84,4.0,2019-03-29,1900-01-01 14:44:00,Cash,6.4,0.48,115.36,55.37,DFW Metroplex
298,299,WALM095,Big Spring,Home and lifestyle,60.01,4.0,2019-01-25,1900-01-01 15:54:00,Cash,4.5,0.33,240.04,79.21,West Texas
299,300,WALM017,McKinney,Home and lifestyle,88.61,1.0,2019-01-19,1900-01-01 10:21:00,Cash,7.7,0.48,88.61,42.53,DFW Metroplex
300,301,WALM100,Canyon,Fashion accessories,99.82,2.0,2019-02-01,1900-01-01 18:09:00,Credit card,6.7,0.18,199.64,35.94,West Texas
301,302,WALM048,Harlingen,Health and beauty,39.01,1.0,2019-12-03,1900-01-01 16:46:00,Credit card,4.7,0.48,39.01,18.72,South Texas
302,303,WALM031,Lewisville,Food and beverages,48.61,1.0,2019-02-25,1900-01-01 15:31:00,Cash,4.4,0.48,48.61,23.33,DFW Metroplex
303,304,WALM026,Denton,Electronic accessories,51.19,4.0,2019-03-18,1900-01-01 17:15:00,Credit card,4.7,0.48,204.76,98.28,DFW Metroplex
304,305,WALM045,Missouri City,Electronic accessories,14.96,8.0,2019-02-23,1900-01-01 12:29:00,Credit card,8.6,0.48,119.68,57.45,Greater Houston
306,307,WALM088,Cleburne,Sports and travel,40.23,7.0,2019-03-30,1900-01-01 13:22:00,Cash,9.6,0.33,281.60999999999996,92.93,DFW Metroplex
308,309,WALM033,Pearland,Electronic accessories,26.48,3.0,2019-03-21,1900-01-01 10:40:00,Ewallet,4.7,0.48,79.44,38.13,Greater Houston
309,310,WALM012,Garland,Fashion accessories,81.91,2.0,2019-05-03,1900-01-01 17:43:00,Cash,7.8,0.48,163.82,78.63,DFW Metroplex
311,312,WALM076,Huntsville,Fashion accessories,69.33,2.0,2019-05-02,1900-01-01 19:05:00,Ewallet,9.7,0.33,138.66,45.76,Central Texas
312,313,WALM012,Garland,Food and beverages,14.23,5.0,2019-01-02,1900-01-01 10:08:00,Credit card,4.4,0.48,71.15,34.15,DFW Metroplex
313,314,WALM026,Denton,Health and beauty,15.55,9.0,2019-07-03,1900-01-01 13:12:00,Cash,5.0,0.48,139.95000000000002,67.18,DFW Metroplex
315,316,WALM030,Richardson,Food and beverages,99.37,2.0,2019-02-14,1900-01-01 17:29:00,Cash,5.2,0.48,198.74,95.4,DFW Metroplex
